m/z	retention_time	p-value	t-score	custom_id
1035.66291	10.672	1	-0.3286218964333333	N156
841.5011	15.857	1	0.035088519900000004	N157
538.31465	9.64	1	0.8042825979999999	N158
843.51764	16.143	1	-0.20919327206666666	N159
594.34045	11.842	1	-0.4678600620666667	N160
867.51638	16.142	1	-0.14826557504999988	N161
794.49637	15.169	1	-1.2126383313333333	N163
911.56119	16.709	1	0.8871021364166667	N164
309.17429	8.749	1	0.11146781078333334	N165
552.29283	10.658	1	-0.6207929920499999	N166
712.49153	16.473	1	0.13463756514999992	N167
918.57054	15.865	0	-1.33250671705	N168
303.23272	11.671	1	0.13519909071666666	N169
922.52928	13.222	0	-1.2785690328666668	N170
818.55351	17.205	1	-0.00014796304999997734	N171
862.50711	13.502	1	-0.36751534648333334	N172
576.3298	11.38	1	-0.3724321155166667	N173
446.3761	15.372	1	0.7141166094333333	N174
453.28563	6.921	1	0.6125161127000001	N175
753.38124	11.273	1	-0.7157377437166668	N176
745.54836	15.997	1	-0.87621769145	N177
743.48564	16.165	1	0.015810343366666674	N178
642.36104	11.236	1	-0.8450982098	N179
592.2649	9.9	1	0.11022611135	N180
666.39779	12.736	1	-0.5563330767166665	N182
533.29103	13.097	1	0.40587073116666667	N183
896.56107	19.229	0	1.46934352645	N184
650.3664	10.791	1	-0.36061641838333336	N185
713.35048	11.11	1	-0.3828256183000001	N186
636.3491	11.988	1	0.8724683446166668	N187
842.55345	16.87	1	-0.15168387769999997	N188
528.30908	10.103	1	0.2984858358833334	N189
820.56892	17.902	1	-0.7386028782499999	N190
901.54118	15.663	1	-0.6580997926833333	N191
694.39244	11.214	1	-0.7880583729166666	N192
832.50901	17.332	0	1.5038864438	N193
353.20011	9.077	1	-0.1898200195333333	N194
564.33065	12.016	1	-0.6851218506833333	N195
520.26506	10.318	1	-0.05515878211666672	N196
580.32472	11.297	1	-1.1859852004166667	N197
652.38168	11.629	1	-0.6685064515666667	N198
692.61904	19.913	1	-0.5459962186666667	N199
872.52764	14.163	1	-0.5701531915333333	N201
892.55301	14.834	1	-0.15396749316666664	N202
690.39752	12.335	1	-0.5824425511166667	N203
613.51467	17.622	0	1.7194680752166667	N204
882.55019	16.231	1	-1.0921963080000001	N205
295.22774	10.059	1	0.3430522842666667	N207
526.31435	10.007	1	0.2226277180500001	N208
744.56205	15.87	1	0.14582816809999996	N209
605.40501	14.41	1	0.37280573773333325	N210
780.51635	16.149	1	-0.7188617930333332	N211
816.57435	19.46	0	1.6420380131333332	N212
411.20601	12.466	1	1.0503873831000001	N213
841.51892	17.552	1	-0.14177460348333334	N214
698.38763	10.748	1	-0.5594308798833334	N215
650.36646	11.791	1	-0.8186829646333332	N216
550.31489	11.09	1	-0.26983188213333337	N217
840.5732	19.144	1	-0.2451946298333333	N218
806.49324	17.237	0	1.3613760187833333	N219
965.52081	12.918	1	-0.9218011311333333	N220
818.51847	15.726	1	-1.1095612417833332	N221
504.3093	10.069	1	0.9552936048	N222
602.34539	11.782	1	-0.8131801964166667	N223
476.27801	9.806	1	0.5649449898	N224
554.30975	10.887	1	-0.7837889134	N225
924.59356	21.685	1	1.1220807888166666	N226
752.52191	17.764	1	0.7057495895333333	N227
832.53358	15.68	1	-0.7050359442	N228
634.37147	12	1	-0.55723903845	N229
720.408	11.614	1	-0.7818697536666668	N230
814.52138	13.959	1	-0.7725874331666667	N231
812.50656	14.413	1	0.08771879641666663	N233
582.27119	6.25	1	-0.6486286096166667	N234
796.51178	15.655	1	-0.8314807777166666	N235
508.35533	13.17	1	-0.2384750232666667	N236
303.23285	9.833	1	0.34240916131666665	N238
636.38697	12.193	1	-0.37507959075	N239
925.50344	15.589	1	0.05828389763333336	N240
922.57729	20.096	1	0.13775683800000002	N241
816.53868	16.604	1	-0.4131358982000001	N242
869.55384	16.109	1	0.24575905823333338	N243
554.34563	11.317	1	0.086972948	N244
808.50798	17.224	1	1.1031382015833333	N245
530.32453	11.409	1	0.16337372776666664	N246
620.35588	11.898	1	-1.1683112455666667	N247
852.55895	13.202	1	0.0880109752666667	N248
969.55124	13.462	1	-0.1344043826833333	N249
1021.52292	16.312	1	0.8237212304499999	N250
820.49645	12.745	1	-0.6362228797166667	N251
213.1134	0.87	1	0.4123963417166666	N253
805.52162	15.42	1	-0.7401771696499999	N254
723.37069	11.764	1	-0.7486442833500002	N255
668.37705	11.622	1	-0.8294821383333333	N258
955.55039	16.997	0	1.6418818311999999	N259
688.49155	16.998	1	0.9897262196833334	N261
