fid	Experimental mass	rt	Platform	Mode	_quant_LD2169	_quant_LD2170	_quant_LD2171	_quant_LD2243	_quant_LD2244	_quant_LD2245	_quant_LD2162	_quant_LD2163	_quant_LD2164	_quant_LD2213	_quant_LD2214	_quant_LD2215	_quant_LD2166	_quant_LD2157	_quant_LD2158	_quant_LD2223	_quant_LD2224	_quant_LD2225
N591	814.55903	18.358	C18	NEG	0.9993450233	-1.0079455714	-0.129388882	0.9514768765	1.5622168491	0.3543250173	-1.5511180209000002	0.1141433724	-1.9928335683	-0.7588678063000001	-1.6061362879	0.179869359	0.5015834712	-0.2135796851	0.1436841135	1.090599374	1.172902223	0.1897241424
N592	738.41884	11.807	C18	NEG	-0.1737863296	-0.3610503454	0.5174247741	-1.3289997444	-0.3014029391	-1.1227362656	-0.0520225053	-0.7128419760000001	1.3685849736	1.1084915641	1.5091484786	1.3234221181	-0.0291847906	0.5627514819	0.6548603472	-2.0413222434	-0.9630690775	-0.3193178661
N593	568.49399	16.596	C18	NEG	1.6394368813	0.0875428294	-0.0682968931	-0.5847397941	-0.9762476323	0.6212186661	0.3732088006	1.0795093112	0.5884371229	0.3768431374	1.1627640367	-1.7183489238	0.0876438311	-1.3653828336	-1.8939106546	-0.9350686629	0.6513912871	0.8739994904
N594	769.37575	11.262	C18	NEG	-0.6928653451	-0.9803536791	1.3225885996	-1.4792753792	0.6860803267000001	-1.5759109325	0.7486544885	-0.8912282401	0.1141252745	-1.2118990625	1.3646759483	0.1899396585	-0.7585988878000001	0.8917525780000001	0.0926288531	-1.3489231289	0.5878093245	1.0692176844
N595	782.53122	17.091	C18	NEG	-0.6777994655	-0.893866071	1.7618855343000002	-2.2664133204	-0.1463135617	0.1851775213	-0.1741073644	-0.3113572949	-0.6003624139	-0.5188869921	1.1192773125	-0.7046566395	0.5965085024	-0.3882724137	-1.1205347639	1.0129738775	0.6443090586	1.2772151285
N600	536.50415	17.098	C18	NEG	1.7598416352	0.5004883116000001	0.9980775615	-0.4280427452	-1.3107201639	0.1502672802	0.806158589	0.3209081684	0.160200763	-0.7747365079	1.4829666206	-1.5697191987	-0.7056483061000001	-0.6554822577	-1.6276319765	-0.7755905822	0.5893641393	1.0792986694
N601	892.52944	17.909	C18	NEG	0.803148818	-0.0961864442	-1.256398704	0.6599358846000001	0.0740912127	0.3754043069	0.2974917189	0.4395917819	-0.3246696068	0.0234058624	-2.5986139065	-0.045158539	1.0012254793	-0.0847587721	0.6494667318	1.1419654675	1.0103911216	-2.0703324129
N602	395.21983	11.674	C18	NEG	-0.6043833562	1.4612451910000002	-1.5814034523	0.9348970312	-0.7745391610000001	0.9648177465	-1.6819687361	0.7158665403000001	-0.3805530589	0.7241029114	-1.3195370375	-0.0754486657	0.282828682	-0.3520630049	0.5975127366	1.2499267647	-1.1661523034	-1.8960893174
N603	660.35073	11.397	C18	NEG	-1.4628344861	0.4569921745	0.1921505	-0.0938236557	0.3806401838	0.0576528153	0.0319361299	-0.346035166	1.407147364	1.5916903997	0.6922678095	1.1495048085	-0.7579240476	0.3483159031	0.536263499	-2.1534961874	-1.6151307899	0.0416749199
N605	590.30919	11.133	C18	NEG	-1.0417258177	0.5513184406	1.4035216761	0.2463139702	-0.4316960271	0.0951334595	-0.3735865743	-1.6157855232	1.3125078919	0.5734127024	1.7380024313	1.1122971347	-0.5408973306	0.4807638448	-0.4012564123	-0.1059849211	-1.9072328892	-0.5437876154
